,PhoneService,InternetService,OnlineSecurity,Contract,PaperlessBilling,PaymentMethod
6266,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
6267,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6268,Yes,No,No internet service,One year,No,Bank transfer (automatic)
6269,No,DSL,No,Month-to-month,Yes,Mailed check
6270,Yes,No,No internet service,Two year,No,Mailed check
6271,Yes,Fiber optic,Yes,One year,Yes,Electronic check
6272,Yes,DSL,No,One year,Yes,Electronic check
6273,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6274,Yes,Fiber optic,No,One year,Yes,Electronic check
6275,Yes,DSL,Yes,Two year,No,Bank transfer (automatic)
6276,Yes,No,No internet service,One year,No,Credit card (automatic)
6277,Yes,No,No internet service,Month-to-month,No,Mailed check
6278,Yes,Fiber optic,No,Two year,Yes,Bank transfer (automatic)
6279,Yes,DSL,No,Month-to-month,Yes,Electronic check
6280,Yes,DSL,No,One year,Yes,Electronic check
6281,Yes,No,No internet service,One year,No,Mailed check
6282,Yes,No,No internet service,Two year,No,Credit card (automatic)
6283,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic)
6284,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6285,No,DSL,Yes,One year,No,Credit card (automatic)
6286,Yes,No,No internet service,Month-to-month,No,Mailed check
6287,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6288,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6289,Yes,Fiber optic,Yes,Two year,No,Credit card (automatic)
6290,Yes,Fiber optic,No,Two year,Yes,Bank transfer (automatic)
6291,Yes,DSL,Yes,One year,No,Credit card (automatic)
6292,Yes,Fiber optic,No,One year,No,Electronic check
6293,Yes,No,No internet service,Two year,No,Mailed check
6294,Yes,No,No internet service,Month-to-month,No,Mailed check
6295,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
6296,No,DSL,Yes,One year,Yes,Credit card (automatic)
6297,Yes,Fiber optic,Yes,One year,No,Electronic check
6298,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
6299,Yes,DSL,No,Two year,Yes,Bank transfer (automatic)
6300,Yes,No,No internet service,Two year,Yes,Mailed check
6301,Yes,DSL,No,Month-to-month,No,Electronic check
6302,Yes,Fiber optic,No,Month-to-month,No,Electronic check
6303,Yes,Fiber optic,No,Two year,No,Electronic check
6304,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
6305,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
6306,Yes,Fiber optic,Yes,One year,Yes,Bank transfer (automatic)
6307,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic)
6308,Yes,Fiber optic,No,Month-to-month,No,Electronic check
6309,Yes,No,No internet service,Two year,No,Credit card (automatic)
6310,No,DSL,Yes,One year,Yes,Electronic check
6311,Yes,Fiber optic,No,One year,Yes,Electronic check
6312,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic)
6313,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6314,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
6315,Yes,DSL,Yes,Two year,Yes,Credit card (automatic)
6316,Yes,No,No internet service,Two year,No,Mailed check
6317,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6318,Yes,No,No internet service,Month-to-month,No,Credit card (automatic)
6319,No,DSL,No,Month-to-month,Yes,Bank transfer (automatic)
6320,Yes,DSL,No,One year,Yes,Electronic check
6321,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic)
6322,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6323,Yes,Fiber optic,No,One year,Yes,Credit card (automatic)
6324,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6325,Yes,Fiber optic,Yes,Month-to-month,No,Electronic check
6326,No,DSL,No,Two year,Yes,Credit card (automatic)
6327,Yes,Fiber optic,No,One year,Yes,Bank transfer (automatic)
6328,Yes,DSL,Yes,Two year,No,Credit card (automatic)
6329,Yes,Fiber optic,No,Two year,Yes,Bank transfer (automatic)
6330,Yes,Fiber optic,No,Month-to-month,No,Mailed check
6331,No,DSL,Yes,One year,No,Electronic check
6332,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic)
6333,Yes,Fiber optic,No,One year,Yes,Electronic check
6334,Yes,Fiber optic,No,Two year,Yes,Electronic check
6335,Yes,DSL,No,Month-to-month,Yes,Electronic check
6336,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6337,Yes,Fiber optic,Yes,One year,No,Mailed check
6338,Yes,No,No internet service,Month-to-month,Yes,Mailed check
6339,Yes,DSL,No,Month-to-month,Yes,Mailed check
6340,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
6341,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
6342,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6343,Yes,No,No internet service,One year,No,Mailed check
6344,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
6345,Yes,DSL,No,Month-to-month,Yes,Credit card (automatic)
6346,Yes,DSL,No,Month-to-month,Yes,Credit card (automatic)
6347,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
6348,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
6349,Yes,No,No internet service,Two year,No,Credit card (automatic)
6350,Yes,No,No internet service,Month-to-month,Yes,Mailed check
6351,Yes,Fiber optic,No,Month-to-month,No,Electronic check
6352,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
6353,Yes,DSL,Yes,Month-to-month,Yes,Credit card (automatic)
6354,Yes,Fiber optic,Yes,One year,No,Bank transfer (automatic)
6355,Yes,Fiber optic,Yes,Two year,No,Credit card (automatic)
6356,Yes,Fiber optic,Yes,One year,Yes,Electronic check
6357,Yes,Fiber optic,Yes,One year,No,Electronic check
6358,Yes,DSL,Yes,Two year,Yes,Bank transfer (automatic)
6359,Yes,Fiber optic,No,Month-to-month,No,Electronic check
6360,Yes,No,No internet service,Month-to-month,Yes,Mailed check
6361,Yes,DSL,No,Month-to-month,No,Bank transfer (automatic)
6362,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
6363,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
6364,Yes,No,No internet service,Two year,Yes,Credit card (automatic)
6365,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6366,Yes,DSL,No,Two year,Yes,Mailed check
6367,No,DSL,Yes,Two year,No,Bank transfer (automatic)
6368,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6369,Yes,Fiber optic,Yes,Two year,Yes,Electronic check
6370,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
6371,Yes,No,No internet service,Two year,No,Credit card (automatic)
6372,Yes,No,No internet service,Two year,No,Credit card (automatic)
6373,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
6374,Yes,No,No internet service,Two year,Yes,Mailed check
6375,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
6376,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
6377,No,DSL,No,Month-to-month,Yes,Mailed check
6378,Yes,Fiber optic,Yes,Month-to-month,No,Electronic check
6379,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
6380,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6381,Yes,No,No internet service,Month-to-month,No,Mailed check
6382,Yes,DSL,Yes,One year,No,Electronic check
6383,No,DSL,Yes,Two year,No,Mailed check
6384,Yes,No,No internet service,One year,No,Mailed check
6385,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6386,Yes,DSL,Yes,Two year,Yes,Credit card (automatic)
6387,Yes,DSL,No,Month-to-month,No,Electronic check
6388,Yes,No,No internet service,Month-to-month,No,Mailed check
6389,Yes,No,No internet service,Two year,No,Credit card (automatic)
6390,Yes,Fiber optic,No,One year,Yes,Electronic check
6391,Yes,DSL,No,One year,No,Credit card (automatic)
6392,No,DSL,No,Month-to-month,Yes,Electronic check
6393,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic)
6394,Yes,DSL,Yes,One year,No,Bank transfer (automatic)
6395,Yes,Fiber optic,No,One year,Yes,Electronic check
6396,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
6397,Yes,DSL,No,One year,No,Bank transfer (automatic)
6398,Yes,Fiber optic,No,Two year,Yes,Bank transfer (automatic)
6399,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6400,Yes,DSL,Yes,Two year,No,Bank transfer (automatic)
6401,Yes,DSL,Yes,Month-to-month,Yes,Mailed check
6402,Yes,DSL,No,Two year,Yes,Bank transfer (automatic)
6403,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic)
6404,Yes,Fiber optic,Yes,Two year,Yes,Electronic check
6405,Yes,Fiber optic,Yes,One year,Yes,Bank transfer (automatic)
6406,No,DSL,No,Month-to-month,Yes,Credit card (automatic)
6407,Yes,DSL,No,One year,No,Mailed check
6408,Yes,Fiber optic,No,Two year,Yes,Bank transfer (automatic)
6409,Yes,No,No internet service,One year,Yes,Mailed check
6410,Yes,DSL,Yes,One year,No,Bank transfer (automatic)
6411,Yes,Fiber optic,No,Month-to-month,No,Electronic check
6412,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic)
6413,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
6414,Yes,No,No internet service,Two year,No,Credit card (automatic)
6415,No,DSL,Yes,One year,Yes,Electronic check
6416,No,DSL,Yes,Two year,No,Electronic check
6417,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
6418,Yes,DSL,No,One year,Yes,Mailed check
6419,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic)
6420,Yes,Fiber optic,No,One year,Yes,Electronic check
6421,Yes,DSL,Yes,Two year,No,Credit card (automatic)
6422,Yes,DSL,Yes,One year,No,Electronic check
6423,Yes,No,No internet service,Two year,No,Credit card (automatic)
6424,No,DSL,No,Two year,Yes,Electronic check
6425,No,DSL,Yes,One year,No,Bank transfer (automatic)
6426,Yes,DSL,No,One year,No,Bank transfer (automatic)
6427,Yes,No,No internet service,Two year,No,Mailed check
6428,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
6429,Yes,DSL,Yes,One year,Yes,Credit card (automatic)
6430,Yes,No,No internet service,Month-to-month,No,Mailed check
6431,Yes,No,No internet service,Two year,No,Mailed check
6432,Yes,DSL,Yes,Month-to-month,No,Mailed check
6433,Yes,No,No internet service,Two year,No,Credit card (automatic)
6434,Yes,DSL,No,Month-to-month,Yes,Electronic check
6435,No,DSL,No,Two year,No,Mailed check
6436,Yes,DSL,Yes,Two year,No,Bank transfer (automatic)
6437,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic)
6438,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6439,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
6440,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6441,Yes,DSL,Yes,Month-to-month,Yes,Credit card (automatic)
6442,Yes,DSL,No,One year,No,Credit card (automatic)
6443,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic)
6444,Yes,DSL,No,One year,Yes,Mailed check
6445,Yes,Fiber optic,Yes,Month-to-month,No,Electronic check
6446,Yes,Fiber optic,Yes,One year,Yes,Bank transfer (automatic)
6447,Yes,DSL,Yes,One year,No,Mailed check
6448,Yes,Fiber optic,No,One year,Yes,Electronic check
6449,Yes,No,No internet service,Month-to-month,No,Mailed check
6450,Yes,No,No internet service,Two year,No,Mailed check
6451,Yes,Fiber optic,Yes,One year,Yes,Electronic check
6452,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic)
6453,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6454,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic)
6455,No,DSL,No,Month-to-month,Yes,Electronic check
6456,Yes,Fiber optic,No,Two year,No,Credit card (automatic)
6457,No,DSL,Yes,One year,No,Credit card (automatic)
6458,Yes,DSL,Yes,Month-to-month,Yes,Electronic check
6459,No,DSL,No,Month-to-month,Yes,Credit card (automatic)
6460,Yes,Fiber optic,No,Month-to-month,No,Electronic check
6461,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
6462,Yes,Fiber optic,No,Month-to-month,No,Electronic check
6463,Yes,DSL,Yes,One year,Yes,Mailed check
6464,Yes,DSL,Yes,Month-to-month,Yes,Bank transfer (automatic)
6465,Yes,No,No internet service,Two year,No,Mailed check
6466,Yes,Fiber optic,No,Month-to-month,No,Mailed check
6467,Yes,Fiber optic,No,Month-to-month,No,Electronic check
6468,Yes,DSL,No,One year,No,Electronic check
6469,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
6470,Yes,DSL,No,One year,Yes,Mailed check
6471,Yes,No,No internet service,One year,No,Bank transfer (automatic)
6472,Yes,Fiber optic,Yes,One year,No,Bank transfer (automatic)
6473,Yes,Fiber optic,No,Month-to-month,No,Electronic check
6474,Yes,No,No internet service,Two year,No,Mailed check
6475,Yes,DSL,Yes,Month-to-month,Yes,Mailed check
6476,Yes,DSL,Yes,One year,No,Bank transfer (automatic)
6477,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic)
6478,Yes,Fiber optic,No,Two year,Yes,Credit card (automatic)
6479,Yes,DSL,No,Month-to-month,Yes,Credit card (automatic)
6480,Yes,DSL,No,Month-to-month,No,Mailed check
6481,Yes,Fiber optic,No,Month-to-month,No,Credit card (automatic)
6482,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6483,Yes,Fiber optic,No,Month-to-month,No,Electronic check
6484,Yes,DSL,Yes,One year,Yes,Bank transfer (automatic)
6485,Yes,Fiber optic,Yes,Month-to-month,Yes,Mailed check
6486,Yes,DSL,No,Month-to-month,No,Bank transfer (automatic)
6487,Yes,Fiber optic,No,Two year,Yes,Bank transfer (automatic)
6488,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6489,Yes,No,No internet service,Month-to-month,Yes,Mailed check
6490,Yes,No,No internet service,One year,No,Mailed check
6491,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6492,Yes,No,No internet service,Two year,No,Mailed check
6493,No,DSL,No,One year,No,Electronic check
6494,No,DSL,No,Month-to-month,Yes,Mailed check
6495,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6496,Yes,Fiber optic,Yes,Month-to-month,No,Electronic check
6497,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6498,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6499,Yes,No,No internet service,Month-to-month,No,Mailed check
6500,No,DSL,Yes,Two year,No,Mailed check
6501,Yes,Fiber optic,No,One year,Yes,Bank transfer (automatic)
6502,Yes,DSL,Yes,Month-to-month,No,Bank transfer (automatic)
6503,No,DSL,No,One year,No,Electronic check
6504,Yes,Fiber optic,No,Month-to-month,No,Electronic check
6505,Yes,DSL,Yes,Two year,Yes,Bank transfer (automatic)
6506,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6507,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic)
6508,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6509,No,DSL,No,Month-to-month,No,Electronic check
6510,Yes,Fiber optic,Yes,Two year,No,Mailed check
6511,Yes,DSL,Yes,Two year,Yes,Bank transfer (automatic)
6512,Yes,DSL,No,Month-to-month,Yes,Electronic check
6513,Yes,DSL,No,Month-to-month,Yes,Bank transfer (automatic)
6514,No,DSL,Yes,Two year,Yes,Electronic check
6515,No,DSL,No,Month-to-month,Yes,Credit card (automatic)
6516,Yes,DSL,No,Month-to-month,No,Electronic check
6517,Yes,DSL,No,Month-to-month,No,Electronic check
6518,Yes,DSL,No,Month-to-month,No,Electronic check
6519,Yes,Fiber optic,No,One year,Yes,Electronic check
6520,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6521,Yes,No,No internet service,Two year,No,Mailed check
6522,No,DSL,Yes,Month-to-month,No,Bank transfer (automatic)
6523,No,DSL,Yes,One year,No,Mailed check
6524,Yes,Fiber optic,No,Month-to-month,No,Electronic check
6525,Yes,No,No internet service,Two year,No,Mailed check
6526,Yes,Fiber optic,No,One year,Yes,Bank transfer (automatic)
6527,Yes,DSL,No,Month-to-month,Yes,Mailed check
6528,Yes,No,No internet service,Two year,No,Credit card (automatic)
6529,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
6530,No,DSL,Yes,One year,No,Bank transfer (automatic)
6531,Yes,DSL,No,Month-to-month,Yes,Bank transfer (automatic)
6532,Yes,No,No internet service,One year,No,Bank transfer (automatic)
6533,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6534,Yes,Fiber optic,Yes,One year,Yes,Mailed check
6535,Yes,Fiber optic,No,One year,Yes,Bank transfer (automatic)
6536,No,DSL,No,Month-to-month,No,Mailed check
6537,Yes,Fiber optic,Yes,One year,No,Credit card (automatic)
6538,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6539,Yes,DSL,No,Month-to-month,Yes,Electronic check
6540,Yes,DSL,Yes,One year,No,Electronic check
6541,Yes,No,No internet service,Two year,No,Mailed check
6542,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
6543,Yes,DSL,Yes,One year,No,Credit card (automatic)
6544,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
6545,Yes,DSL,Yes,Month-to-month,Yes,Electronic check
6546,Yes,DSL,Yes,Month-to-month,Yes,Electronic check
6547,No,DSL,Yes,Two year,Yes,Electronic check
6548,Yes,DSL,No,Month-to-month,No,Mailed check
6549,Yes,DSL,No,Month-to-month,Yes,Electronic check
6550,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6551,Yes,Fiber optic,No,One year,Yes,Electronic check
6552,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
6553,No,DSL,No,Two year,Yes,Bank transfer (automatic)
6554,Yes,Fiber optic,No,Month-to-month,No,Electronic check
6555,Yes,No,No internet service,One year,No,Mailed check
6556,Yes,No,No internet service,One year,No,Credit card (automatic)
6557,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6558,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic)
6559,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6560,Yes,No,No internet service,One year,No,Mailed check
6561,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6562,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6563,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
6564,Yes,No,No internet service,Month-to-month,No,Credit card (automatic)
6565,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
6566,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic)
6567,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
6568,Yes,No,No internet service,Two year,No,Mailed check
6569,Yes,No,No internet service,Two year,No,Mailed check
6570,No,DSL,Yes,Month-to-month,Yes,Mailed check
6571,Yes,DSL,Yes,One year,No,Mailed check
6572,Yes,DSL,Yes,Two year,Yes,Credit card (automatic)
6573,No,DSL,No,One year,No,Bank transfer (automatic)
6574,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6575,Yes,DSL,Yes,Month-to-month,Yes,Mailed check
6576,Yes,No,No internet service,Month-to-month,No,Mailed check
6577,Yes,DSL,No,Two year,No,Bank transfer (automatic)
6578,Yes,DSL,Yes,One year,No,Credit card (automatic)
6579,Yes,DSL,Yes,Two year,No,Credit card (automatic)
6580,Yes,DSL,No,One year,No,Credit card (automatic)
6581,Yes,DSL,No,One year,No,Mailed check
6582,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic)
6583,Yes,No,No internet service,One year,Yes,Mailed check
6584,Yes,No,No internet service,Two year,No,Credit card (automatic)
6585,Yes,No,No internet service,One year,No,Mailed check
6586,Yes,No,No internet service,Two year,Yes,Credit card (automatic)
6587,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic)
6588,Yes,No,No internet service,Two year,No,Mailed check
6589,Yes,No,No internet service,Two year,No,Credit card (automatic)
6590,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6591,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
6592,Yes,DSL,No,One year,No,Credit card (automatic)
6593,No,DSL,No,Month-to-month,Yes,Bank transfer (automatic)
6594,Yes,No,No internet service,Month-to-month,Yes,Electronic check
6595,Yes,DSL,Yes,Two year,Yes,Electronic check
6596,Yes,DSL,Yes,One year,No,Electronic check
6597,Yes,DSL,No,Month-to-month,Yes,Credit card (automatic)
6598,Yes,DSL,Yes,Two year,Yes,Credit card (automatic)
6599,Yes,Fiber optic,No,Month-to-month,No,Electronic check
6600,No,DSL,Yes,Month-to-month,No,Credit card (automatic)
6601,Yes,Fiber optic,No,Two year,No,Credit card (automatic)
6602,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
6603,Yes,DSL,No,Month-to-month,Yes,Credit card (automatic)
6604,Yes,DSL,No,Month-to-month,Yes,Electronic check
6605,Yes,Fiber optic,No,One year,No,Credit card (automatic)
6606,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6607,No,DSL,No,Month-to-month,Yes,Electronic check
6608,Yes,DSL,No,One year,Yes,Credit card (automatic)
6609,Yes,No,No internet service,Month-to-month,Yes,Mailed check
6610,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
6611,Yes,DSL,Yes,One year,No,Bank transfer (automatic)
6612,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
6613,Yes,No,No internet service,Month-to-month,No,Mailed check
6614,Yes,No,No internet service,Two year,No,Credit card (automatic)
6615,Yes,DSL,No,Month-to-month,Yes,Electronic check
6616,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6617,Yes,DSL,Yes,One year,Yes,Credit card (automatic)
6618,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic)
6619,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic)
6620,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6621,Yes,No,No internet service,Two year,No,Credit card (automatic)
6622,Yes,DSL,No,Month-to-month,No,Bank transfer (automatic)
6623,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6624,No,DSL,Yes,Two year,Yes,Bank transfer (automatic)
6625,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6626,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6627,Yes,No,No internet service,One year,No,Mailed check
6628,Yes,Fiber optic,No,One year,Yes,Mailed check
6629,Yes,DSL,Yes,Two year,Yes,Credit card (automatic)
6630,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6631,Yes,DSL,No,Month-to-month,No,Credit card (automatic)
6632,Yes,DSL,Yes,Month-to-month,No,Electronic check
6633,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6634,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
6635,Yes,No,No internet service,One year,No,Mailed check
6636,Yes,DSL,Yes,One year,No,Electronic check
6637,Yes,DSL,Yes,One year,Yes,Credit card (automatic)
6638,Yes,No,No internet service,Two year,No,Mailed check
6639,Yes,Fiber optic,No,One year,Yes,Bank transfer (automatic)
6640,No,DSL,Yes,One year,No,Mailed check
6641,Yes,DSL,Yes,Month-to-month,Yes,Electronic check
6642,Yes,DSL,Yes,Month-to-month,Yes,Mailed check
6643,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
6644,Yes,Fiber optic,No,One year,Yes,Bank transfer (automatic)
6645,Yes,No,No internet service,Month-to-month,No,Mailed check
6646,Yes,No,No internet service,One year,No,Mailed check
6647,Yes,DSL,Yes,Two year,No,Credit card (automatic)
6648,Yes,No,No internet service,Month-to-month,No,Mailed check
6649,Yes,No,No internet service,Month-to-month,No,Credit card (automatic)
6650,Yes,No,No internet service,Month-to-month,No,Mailed check
6651,Yes,DSL,Yes,Month-to-month,No,Mailed check
6652,Yes,No,No internet service,Two year,Yes,Credit card (automatic)
6653,No,DSL,No,Month-to-month,Yes,Mailed check
6654,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6655,Yes,No,No internet service,Two year,No,Mailed check
6656,Yes,No,No internet service,Two year,No,Mailed check
6657,Yes,No,No internet service,One year,No,Bank transfer (automatic)
6658,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6659,Yes,DSL,Yes,Two year,No,Credit card (automatic)
6660,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6661,No,DSL,No,Two year,No,Credit card (automatic)
6662,No,DSL,Yes,One year,No,Credit card (automatic)
6663,Yes,DSL,No,Month-to-month,Yes,Electronic check
6664,Yes,Fiber optic,No,One year,Yes,Bank transfer (automatic)
6665,No,DSL,No,Month-to-month,No,Credit card (automatic)
6666,Yes,DSL,No,Month-to-month,No,Electronic check
6667,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6668,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6669,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
6670,Yes,DSL,No,Two year,No,Mailed check
6671,Yes,Fiber optic,No,Two year,Yes,Mailed check
6672,Yes,No,No internet service,Two year,No,Credit card (automatic)
6673,Yes,DSL,No,Month-to-month,No,Electronic check
6674,Yes,No,No internet service,Month-to-month,No,Mailed check
6675,Yes,DSL,No,One year,Yes,Mailed check
6676,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic)
6677,No,DSL,No,Month-to-month,No,Electronic check
6678,Yes,No,No internet service,Two year,No,Credit card (automatic)
6679,No,DSL,Yes,Two year,No,Bank transfer (automatic)
6680,Yes,Fiber optic,No,Two year,Yes,Mailed check
6681,Yes,Fiber optic,No,Month-to-month,No,Electronic check
6682,Yes,Fiber optic,No,Two year,Yes,Mailed check
6683,No,DSL,No,One year,No,Electronic check
6684,No,DSL,Yes,One year,Yes,Mailed check
6685,Yes,DSL,No,Month-to-month,Yes,Credit card (automatic)
6686,Yes,Fiber optic,No,Two year,Yes,Credit card (automatic)
6687,Yes,Fiber optic,No,Month-to-month,No,Electronic check
6688,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
6689,Yes,Fiber optic,No,One year,Yes,Credit card (automatic)
6690,Yes,Fiber optic,No,Two year,No,Mailed check
6691,No,DSL,Yes,One year,No,Bank transfer (automatic)
6692,Yes,DSL,Yes,Month-to-month,Yes,Bank transfer (automatic)
6693,No,DSL,No,Month-to-month,Yes,Electronic check
6694,Yes,DSL,Yes,Two year,Yes,Credit card (automatic)
6695,Yes,DSL,Yes,Two year,No,Mailed check
6696,Yes,Fiber optic,No,Month-to-month,No,Electronic check
6697,Yes,DSL,Yes,One year,Yes,Credit card (automatic)
6698,Yes,Fiber optic,No,One year,Yes,Credit card (automatic)
6699,Yes,No,No internet service,Two year,Yes,Mailed check
6700,Yes,Fiber optic,No,Two year,Yes,Bank transfer (automatic)
6701,Yes,Fiber optic,No,One year,No,Bank transfer (automatic)
6702,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6703,No,DSL,No,Month-to-month,Yes,Electronic check
6704,Yes,Fiber optic,No,One year,Yes,Electronic check
6705,Yes,DSL,No,Month-to-month,Yes,Electronic check
6706,Yes,No,No internet service,Month-to-month,No,Mailed check
6707,Yes,No,No internet service,Two year,Yes,Credit card (automatic)
6708,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6709,Yes,Fiber optic,No,One year,No,Electronic check
6710,Yes,DSL,Yes,One year,No,Bank transfer (automatic)
6711,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
